Postcode;Plaatsnaam;Deelgemeente;Provincie
1495;Sart-Dames-Avelines;Ja;Waals-Brabant
1495;Tilly;Ja;Waals-Brabant
1495;VILLERS-LA-VILLE;Neen;Waals-Brabant
1500;HALLE;Neen;Vlaams-Brabant
1501;Buizingen;Ja;Vlaams-Brabant
1502;Lembeek;Ja;Vlaams-Brabant
1540;Herfelingen;Ja;Vlaams-Brabant
1540;HERNE;Neen;Vlaams-Brabant
1541;Sint-Pieters-Kapelle;Ja;Vlaams-Brabant
1547;BEVER;Neen;Vlaams-Brabant
1560;HOEILAART;Neen;Vlaams-Brabant
1570;GALMAARDEN;Neen;Vlaams-Brabant
1570;Tollembeek;Ja;Vlaams-Brabant
1570;Vollezele;Ja;Vlaams-Brabant
1600;Oudenaken;Ja;Vlaams-Brabant
1600;Sint-Laureins-Berchem;Ja;Vlaams-Brabant
1600;SINT-PIETERS-LEEUW;Neen;Vlaams-Brabant
1601;Ruisbroek;Ja;Vlaams-Brabant
1602;Vlezenbeek;Ja;Vlaams-Brabant
1620;DROGENBOS;Neen;Vlaams-Brabant
1630;LINKEBEEK;Neen;Vlaams-Brabant
1640;SINT-GENESIUS-RODE;Neen;Vlaams-Brabant
1650;BEERSEL;Neen;Vlaams-Brabant
1651;Lot;Ja;Vlaams-Brabant
1652;Alsemberg;Ja;Vlaams-Brabant
1653;Dworp;Ja;Vlaams-Brabant
1654;Huizingen;Ja;Vlaams-Brabant
1670;Bogaarden;Ja;Vlaams-Brabant
1670;Heikruis;Ja;Vlaams-Brabant
1670;PEPINGEN;Neen;Vlaams-Brabant
1671;Elingen;Ja;Vlaams-Brabant
1673;Beert;Ja;Vlaams-Brabant
1674;Bellingen;Ja;Vlaams-Brabant
1700;DILBEEK;Neen;Vlaams-Brabant
1700;Sint-Martens-Bodegem;Ja;Vlaams-Brabant
1700;Sint-Ulriks-Kapelle;Ja;Vlaams-Brabant
1701;Itterbeek;Ja;Vlaams-Brabant
1702;Groot-Bijgaarden;Ja;Vlaams-Brabant
1703;Schepdaal;Ja;Vlaams-Brabant
1730;ASSE;Neen;Vlaams-Brabant
1730;Bekkerzeel;Ja;Vlaams-Brabant
1730;Kobbegem;Ja;Vlaams-Brabant
1730;Mollem;Ja;Vlaams-Brabant
1731;Relegem;Ja;Vlaams-Brabant
1731;Zellik;Ja;Vlaams-Brabant
1733;HighCo DATA;;
1740;TERNAT;Neen;Vlaams-Brabant
1741;Wambeek;Ja;Vlaams-Brabant
1742;Sint-Katherina-Lombeek;Ja;Vlaams-Brabant
1745;Mazenzele;Ja;Vlaams-Brabant
1745;OPWIJK;Neen;Vlaams-Brabant
1750;Gaasbeek;Ja;Vlaams-Brabant
1750;LENNIK;Neen;Vlaams-Brabant
1750;Sint-Kwintens-Lennik;Ja;Vlaams-Brabant
1750;Sint-Martens-Lennik;Ja;Vlaams-Brabant
1755;GOOIK;Neen;Vlaams-Brabant
1755;Kester;Ja;Vlaams-Brabant
1755;Leerbeek;Ja;Vlaams-Brabant
1755;Oetingen;Ja;Vlaams-Brabant
1760;Onze-Lieve-Vrouw-Lombeek;Ja;Vlaams-Brabant
1760;Pamel;Ja;Vlaams-Brabant
1760;ROOSDAAL;Neen;Vlaams-Brabant
1760;Strijtem;Ja;Vlaams-Brabant
1761;Borchtlombeek;Ja;Vlaams-Brabant
1770;LIEDEKERKE;Neen;Vlaams-Brabant
1780;WEMMEL;Neen;Vlaams-Brabant
1785;Brussegem;Ja;Vlaams-Brabant
